converted,score_differential,game_seconds_remaining,situation
0,-8.0,352.0,Medium_Opponent Territory
0,-11.0,40.0,Long_Midfield Area
1,10.0,1608.0,Short_Opponent Territory
1,-17.0,312.0,Short_Opponent Territory
1,-10.0,115.0,Long_Own Territory
0,-3.0,500.0,Short_Opponent Territory
0,-10.0,91.0,Long_Midfield Area
0,0.0,3439.0,Medium_Opponent Territory
0,3.0,2696.0,Short_Midfield Area
1,0.0,1932.0,Medium_Opponent Territory
1,7.0,1712.0,Short_Opponent Territory
1,10.0,682.0,Short_Opponent Territory
1,-3.0,2917.0,Short_Midfield Area
0,-3.0,2784.0,Medium_Opponent Territory
0,3.0,358.0,Short_Midfield Area
1,-3.0,152.0,Short_Opponent Territory
0,-4.0,13.0,Long_Opponent Territory
1,7.0,2881.0,Short_Opponent Territory
1,8.0,1653.0,Short_Opponent Territory
0,-8.0,1095.0,Short_Midfield Area
0,-15.0,543.0,Long_Opponent Territory
1,-15.0,387.0,Medium_Opponent Territory
0,-15.0,308.0,Medium_Red Zone
1,3.0,3026.0,Short_Midfield Area
1,3.0,2780.0,Short_Red Zone
1,3.0,2700.0,Short_Red Zone
1,-20.0,1685.0,Medium_Red Zone
1,-14.0,520.0,Long_Midfield Area
1,-14.0,300.0,Long_Opponent Territory
0,-14.0,216.0,Long_Opponent Territory
1,0.0,3181.0,Medium_Red Zone
1,-14.0,2595.0,Short_Opponent Territory
0,-21.0,1913.0,Long_Red Zone
0,-21.0,1541.0,Short_Opponent Territory
0,-21.0,1238.0,Long_Opponent Territory
1,21.0,679.0,Short_Opponent Territory
1,-28.0,192.0,Long_Opponent Territory
0,-28.0,115.0,Long_Red Zone
1,7.0,2700.0,Short_Midfield Area
0,-31.0,912.0,Medium_Midfield Area
0,31.0,292.0,Medium_Red Zone
1,-18.0,1399.0,Short_Own Territory
0,-18.0,1097.0,Long_Opponent Territory
1,-25.0,142.0,Medium_Own Territory
0,-25.0,42.0,Long_Opponent Territory
0,-4.0,1803.0,Medium_Midfield Area
1,4.0,1394.0,Short_Red Zone
0,-18.0,359.0,Long_Opponent Territory
1,18.0,120.0,Short_Opponent Territory
0,-20.0,1902.0,Short_Opponent Territory
0,-12.0,269.0,Short_Opponent Territory
1,12.0,120.0,Medium_Opponent Territory
1,7.0,2459.0,Short_Red Zone
1,-13.0,2200.0,Medium_Opponent Territory
0,-13.0,2019.0,Short_Red Zone
1,-4.0,68.0,Long_Midfield Area
1,0.0,3390.0,Short_Midfield Area
1,0.0,3127.0,Medium_Opponent Territory
1,-9.0,178.0,Short_Red Zone
1,7.0,1470.0,Short_Red Zone
0,7.0,2746.0,Short_Red Zone
1,-11.0,1521.0,Short_Opponent Territory
1,12.0,900.0,Short_Opponent Territory
0,-12.0,696.0,Medium_Midfield Area
1,-15.0,432.0,Medium_Opponent Territory
0,-15.0,269.0,Long_Red Zone
0,-15.0,153.0,Long_Opponent Territory
0,-9.0,2459.0,Medium_Opponent Territory
0,-22.0,631.0,Short_Opponent Territory
1,-37.0,793.0,Long_Opponent Territory
1,1.0,2008.0,Short_Opponent Territory
0,-14.0,29.0,Short_Red Zone
1,-16.0,1169.0,Short_Midfield Area
0,-23.0,738.0,Long_Red Zone
0,-19.0,205.0,Long_Midfield Area
1,-17.0,1527.0,Medium_Opponent Territory
1,-9.0,1518.0,Short_Red Zone
1,-16.0,207.0,Medium_Midfield Area
1,0.0,2947.0,Short_Red Zone
1,-7.0,2727.0,Medium_Opponent Territory
0,-21.0,1058.0,Medium_Midfield Area
0,-28.0,664.0,Long_Midfield Area
1,-31.0,483.0,Medium_Midfield Area
0,24.0,69.0,Short_Opponent Territory
0,-24.0,383.0,Long_Midfield Area
1,0.0,2736.0,Medium_Opponent Territory
1,0.0,2577.0,Short_Red Zone
1,-25.0,169.0,Short_Red Zone
0,-3.0,3200.0,Short_Midfield Area
1,-14.0,2123.0,Short_Red Zone
1,-14.0,521.0,Short_Midfield Area
0,-1.0,32.0,Long_Midfield Area
1,0.0,3195.0,Short_Opponent Territory
0,-11.0,15.0,Long_Midfield Area
0,0.0,2248.0,Short_Red Zone
1,4.0,1512.0,Short_Red Zone
0,-17.0,708.0,Short_Midfield Area
0,-20.0,297.0,Long_Opponent Territory
1,-20.0,96.0,Medium_Midfield Area
1,-20.0,38.0,Medium_Opponent Territory
0,-24.0,1001.0,Medium_Opponent Territory
1,24.0,912.0,Short_Opponent Territory
0,-31.0,421.0,Long_Red Zone
1,-31.0,160.0,Short_Red Zone
1,0.0,3161.0,Short_Midfield Area
0,0.0,2764.0,Long_Opponent Territory
0,0.0,2430.0,Short_Opponent Territory
1,0.0,1519.0,Short_Red Zone
0,0.0,3337.0,Medium_Red Zone
0,-17.0,900.0,Medium_Opponent Territory
0,10.0,155.0,Long_Opponent Territory
0,-10.0,89.0,Long_Own Territory
0,-14.0,1881.0,Short_Opponent Territory
1,-7.0,363.0,Medium_Red Zone
1,-7.0,284.0,Long_Red Zone
1,-3.0,3210.0,Short_Red Zone
0,-8.0,1868.0,Short_Red Zone
1,-22.0,802.0,Short_Opponent Territory
1,-22.0,699.0,Long_Opponent Territory
1,0.0,2927.0,Short_Midfield Area
1,-3.0,1995.0,Short_Red Zone
1,-7.0,895.0,Medium_Opponent Territory
0,-7.0,660.0,Long_Red Zone
1,-7.0,350.0,Medium_Opponent Territory
1,-7.0,3230.0,Short_Red Zone
1,-3.0,2749.0,Short_Opponent Territory
1,-14.0,222.0,Long_Opponent Territory
1,0.0,3271.0,Short_Opponent Territory
1,0.0,3278.0,Short_Red Zone
1,0.0,3187.0,Short_Red Zone
0,-7.0,2960.0,Medium_Red Zone
1,7.0,2730.0,Short_Midfield Area
1,-7.0,2354.0,Short_Red Zone
1,-10.0,1696.0,Short_Midfield Area
1,-10.0,1168.0,Medium_Midfield Area
1,0.0,2973.0,Short_Red Zone
0,0.0,2495.0,Short_Opponent Territory
1,-3.0,920.0,Short_Red Zone
1,0.0,206.0,Short_Red Zone
0,7.0,2963.0,Short_Opponent Territory
0,-4.0,2055.0,Medium_Opponent Territory
1,-15.0,860.0,Long_Opponent Territory
1,-15.0,694.0,Short_Red Zone
0,-3.0,1329.0,Short_Red Zone
1,0.0,3471.0,Medium_Opponent Territory
1,-7.0,2383.0,Short_Red Zone
1,-7.0,637.0,Short_Opponent Territory
1,10.0,1260.0,Short_Red Zone
1,17.0,763.0,Short_Red Zone
0,-24.0,587.0,Short_Red Zone
0,-24.0,340.0,Medium_Opponent Territory
1,-7.0,2700.0,Short_Midfield Area
0,-24.0,1249.0,Long_Opponent Territory
1,-7.0,3241.0,Short_Midfield Area
0,-35.0,2061.0,Short_Red Zone
1,-31.0,1683.0,Long_Opponent Territory
0,-31.0,1494.0,Short_Red Zone
1,-31.0,1427.0,Long_Red Zone
0,-23.0,1177.0,Medium_Red Zone
0,0.0,3361.0,Short_Opponent Territory
1,-4.0,1109.0,Short_Red Zone
0,-4.0,952.0,Short_Red Zone
1,-3.0,77.0,Short_Opponent Territory
0,-9.0,1250.0,Short_Opponent Territory
0,-14.0,439.0,Medium_Red Zone
1,-14.0,289.0,Long_Opponent Territory
1,-14.0,208.0,Long_Red Zone
0,-8.0,21.0,Medium_Midfield Area
0,-7.0,2782.0,Short_Opponent Territory
1,-17.0,293.0,Long_Midfield Area
0,-7.0,621.0,Short_Opponent Territory
1,-19.0,2105.0,Short_Red Zone
1,12.0,1920.0,Short_Opponent Territory
1,12.0,1859.0,Short_Red Zone
1,-22.0,1329.0,Medium_Red Zone
1,-25.0,604.0,Medium_Opponent Territory
0,-13.0,1349.0,Medium_Opponent Territory
1,-19.0,782.0,Short_Red Zone
0,-21.0,2325.0,Short_Red Zone
1,-21.0,2026.0,Short_Red Zone
1,7.0,1280.0,Medium_Opponent Territory
0,-15.0,516.0,Medium_Midfield Area
0,7.0,2163.0,Medium_Opponent Territory
1,-7.0,3259.0,Short_Midfield Area
1,-3.0,1802.0,Short_Red Zone
0,5.0,979.0,Medium_Opponent Territory
0,-5.0,115.0,Medium_Opponent Territory
1,-4.0,2489.0,Short_Midfield Area
1,3.0,980.0,Short_Opponent Territory
0,3.0,822.0,Medium_Opponent Territory
0,-10.0,460.0,Short_Opponent Territory
0,0.0,3441.0,Medium_Opponent Territory
0,0.0,3268.0,Short_Opponent Territory
0,0.0,2132.0,Short_Red Zone
1,0.0,1933.0,Short_Opponent Territory
